25,AIRC300,t,1591440812,
26,AIRC300,f,1591441175,
33,AIRC300,t,1591609314,Automation_Automation_Automation_test
34,AIRC300,f,1591609347,Automation_Automation_Automation_Automation_test
35,AIRC300,t,1591609688,Automation_Automation_Automation_Automation_Automation_test
36,AIRC300,f,1591610358,Automation_Automation_Automation_Automation_Automation_Automation_test
37,AIRC300,t,1591610418,Automation_Automation_Automation_Automation_Automation_Automation_Automation_test
38,AIRC300,f,1591610552,Automation_Automation_Automation_Automation_Automation_Automation_Automation_Automation_test
41,AIRC300,t,1591636703,Automation_test
42,AIRC300,f,1591636745,Automation_test
43,AIRC300,t,1591636790,Automation_test
44,AIRC300,f,1591636892,Automation_test
45,AIRC300,t,1591708699,Automation_test
46,AIRC300,f,1591709611,Automation_test
47,AIRC300,t,1591709650,Automation_test
